epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/car,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
3,7149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7799,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7849,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7899,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7949,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,7999,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,8049,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
3,8099,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,2.1550427220518031e-07,,,,,,,,,,,,
